"","block01_wAlbAB_m","block01_wAlbAB_f","block01_wAlbAB_immM","block01_wAlbAB_immF","block01_wPip_m","block01_wPip_f","block01_wPip_immM","block01_wPip_immF"
"1",26,62,25,26,0,0,0,0
"2",22,59,38,35,0,0,0,0
"3",19,54,44,43,0,0,0,0
"4",17,48,49,46,0,0,0,0
"5",11,46,54,55,0,0,0,0
"6",12,45,56,57,0,0,0,0
"7",12,43,56,60,0,0,0,0
"8",13,42,55,60,0,0,0,0
"9",14,44,51,56,0,0,0,0
"10",14,51,49,49,0,0,0,0
"11",18,51,46,48,0,0,0,0
"12",21,55,43,45,0,0,0,0
"13",29,56,33,37,0,0,0,0
"14",26,54,32,38,0,0,0,0
"15",23,50,30,36,0,0,0,0
"16",22,48,28,33,0,0,0,0
"17",17,49,29,33,0,0,0,0
"18",17,48,31,33,0,0,0,0
"19",19,50,31,33,0,0,0,0
"20",18,52,31,27,0,0,0,0
"21",15,49,35,27,0,0,0,0
"22",16,49,31,27,0,0,0,0
"23",13,49,32,27,0,0,0,0
"24",12,52,34,24,0,0,0,0
"25",13,48,31,23,0,0,0,0
"26",14,52,30,19,0,0,0,0
"27",15,47,25,20,0,0,0,0
"28",12,48,25,18,0,0,0,0
"29",13,46,22,16,0,0,0,0
"30",10,42,20,14,0,0,0,0
"31",11,39,17,12,0,0,0,0
"32",10,35,16,14,0,0,0,0
"33",10,33,17,16,0,0,0,0
"34",11,30,15,16,0,0,0,0
"35",9,30,13,15,0,0,0,0
"36",11,28,11,14,0,0,0,0
"37",10,26,10,14,0,0,0,0
"38",11,25,9,14,0,0,0,0
"39",11,22,8,14,0,0,0,0
"40",8,21,9,12,0,0,0,0
"41",5,21,9,11,0,0,0,0
"42",5,21,8,11,0,0,0,0
"43",6,23,7,11,0,0,0,0
"44",8,22,5,9,0,0,0,0
"45",7,20,5,9,0,0,0,0
"46",7,23,4,6,0,0,0,0
"47",6,22,3,7,0,0,0,0
"48",6,21,3,7,0,0,0,0
"49",4,20,4,6,0,0,0,0
"50",2,18,4,7,0,0,0,0
"51",2,16,3,7,0,0,0,0
"52",1,17,3,6,0,0,0,0
"53",1,14,3,6,0,0,0,0
"54",1,14,4,5,0,0,0,0
"55",4,15,1,3,0,0,0,0
"56",2,14,2,4,0,0,0,0
"57",2,13,4,5,0,0,0,0
"58",1,10,5,5,0,0,0,0
"59",1,8,5,5,0,0,0,0
"60",1,8,5,5,0,0,0,0
"61",1,6,4,5,0,0,0,0
"62",2,7,5,4,0,0,0,0
"63",2,7,5,4,0,0,0,0
"64",2,8,5,3,0,0,0,0
"65",2,6,5,3,0,0,0,0
"66",0,6,5,3,0,0,0,0
"67",1,5,4,3,0,0,0,0
"68",1,6,3,2,0,0,0,0
"69",1,8,3,0,0,0,0,0
"70",0,5,3,0,0,0,0,0
"71",0,4,3,0,0,0,0,0
"72",1,3,2,0,0,0,0,0
"73",2,3,1,0,0,0,0,0
"74",3,3,0,0,0,0,0,0
"75",1,3,0,0,0,0,0,0
"76",0,3,0,0,0,0,0,0
"77",0,3,0,0,0,0,0,0
"78",0,2,0,0,0,0,0,0
"79",0,2,0,0,0,0,0,0
"80",0,1,0,0,0,0,0,0
"81",0,1,0,0,0,0,0,0
"82",0,0,0,0,0,0,0,0
"83",0,0,0,0,0,0,0,0
"84",0,0,0,0,0,0,0,0
"85",0,0,0,0,0,0,0,0
"86",0,0,0,0,0,0,0,0
"87",0,0,0,0,0,0,0,0
"88",0,0,0,0,0,0,0,0
"89",0,0,0,0,0,0,0,0
"90",0,0,0,0,0,0,0,0
"91",0,0,0,0,0,0,0,0
"92",0,0,0,0,0,0,0,0
"93",0,0,0,0,0,0,0,0
"94",0,0,0,0,0,0,0,0
"95",0,0,0,0,0,0,0,0
"96",0,0,0,0,0,0,0,0
"97",0,0,0,0,0,0,0,0
"98",0,0,0,0,0,0,0,0
"99",0,0,0,0,0,0,0,0
"100",0,0,0,0,0,0,0,0
